year,film,winner_flag
1927.0,Wings,1
1928.0,In Old Arizona,1
1929.0,All Quiet on the Western Front,1
1930.0,East Lynne,1
1931.0,Grand Hotel,1
1932.0,Smilin' Through,1
1934.0,It Happened One Night,1
1935.0,Mutiny on the Bounty,1
1936.0,The Great Ziegfeld,1
1937.0,The Life of Emile Zola,1
1938.0,You Can't Take It with You,1
1939.0,Gone with the Wind,1
1940.0,Rebecca,1
1941.0,How Green Was My Valley,1
1942.0,Mrs. Miniver,1
1943.0,Madame Curie,1
1944.0,Since You Went Away,1
1945.0,The Bells of St. Mary's,1
1946.0,Henry V,1
1947.0,Miracle on 34th Street,1
1948.0,Hamlet,1
1949.0,All the King's Men,1
1950.0,All About Eve,1
1951.0,An American in Paris,1
1952.0,The Greatest Show on Earth,1
1953.0,From Here to Eternity,1
1954.0,On the Waterfront,1
1955.0,The Rose Tattoo,1
1956.0,The King and I,1
1957.0,Peyton Place,1
1958.0,Auntie Mame,1
1959.0,Ben-Hur,1
1960.0,Sons and Lovers,1
1961.0,Fanny,1
1962.0,Lawrence of Arabia,1
1963.0,Tom Jones,1
1964.0,Mary Poppins,1
1965.0,A Thousand Clowns,1
1966.0,The Sand Pebbles,1
1967.0,Doctor Dolittle,1
1968.0,Oliver!,1
1969.0,"Hello, Dolly!",1
1970.0,M*A*S*H,1
1971.0,The Last Picture Show,1
1972.0,The Godfather,1
1973.0,A Touch of Class,1
1974.0,The Towering Inferno,1
1975.0,One Flew Over the Cuckoo's Nest,1
1976.0,Rocky,1
1977.0,Star Wars,1
1978.0,Coming Home,1
1979.0,Breaking Away,1
1980.0,Coal Miner's Daughter,1
1981.0,Raiders of the Lost Ark,1
1982.0,The Verdict,1
1983.0,The Right Stuff,1
1984.0,Amadeus,1
1985.0,Prizzi's Honor,1
1986.0,A Room with a View,1
1987.0,Hope and Glory,1
1988.0,Rain Man,1
1989.0,My Left Foot,1
1990.0,Goodfellas,1
1991.0,Bugsy,1
1992.0,Unforgiven,1
1993.0,The Piano,1
1994.0,Four Weddings and a Funeral,1
1995.0,Il Postino: The Postman,1
1996.0,Fargo,1
1997.0,Good Will Hunting,1
1998.0,The Thin Red Line,1
1999.0,The Insider,1
2000.0,Gladiator,1
2001.0,The Lord of the Rings: The Fellowship of the Ring,1
2002.0,The Pianist,1
2003.0,Mystic River,1
2004.0,The Aviator,1
2005.0,Crash,1
2006.0,The Queen,1
2007.0,Juno,1
2008.0,Slumdog Millionaire,1
2009.0,Avatar,1
2010.0,Winter's Bone,1
2011.0,War Horse,1
2012.0,Django Unchained,1
2013.0,Philomena,1
2014.0,The Theory of Everything,1
2015.0,Spotlight,1
2016.0,Manchester by the Sea,1
2017.0,The Post,1
2018.0,Green Book,1
2019.0,Little Women,1
2020.0,Judas and the Black Messiah,1
2021.0,Dune,1
2022.0,Everything Everywhere All at Once,1
2023.0,Past Lives,1
2024.0,Anora,1
2025.0,Bugonia,1
